ID,Name,Price,"Quantity on Hand"
0,"Tuscan brown Sectional","$1,039.99",43
1,"Old burgundy Bed",$389.99,94
2,"Resolution blue Sofa",$649.99,81
3,"Cotton candy Coffee Table",$200,92
4,"Goldenrod Coffee Table",$200,84
5,"Violet Bench",$114.99,79
6,"Imperial red Dining Table",$800,44
7,"Screamin' Green End Table",$39.99,37
8,"Rusty red Daybed",$311.99,19
9,"Phthalo green Crib",$289,5
10,"Champagne pink End Table",$39.99,44
11,"Cadmium yellow Bench",$114.99,21
12,"Burlywood Headboard",$222.99,13
13,"Antique brass Futon",$219.99,3
14,"Cyber yellow Sleeper Sofa","$1,279.99",50
15,"China rose Loveseat",$269.99,73
16,"Indigo Stool",$54.99,48
17,"Baby pink Reclining Loveseat","$1,023.99",57
18,"Platinum Bench",$114.99,34
19,"Indigo Wardrobe",$719.99,24
20,"Tropical rainforest Dining Table",$800,96
21,"French violet Storage Bench",$194.99,27
22,"Citron Ottoman",$52.99,78
23,"Mexican pink Headboard",$222.99,100
24,"Arylide yellow Nightstand",$81.99,94
25,"Cadmium red Dining Table",$800,87
26,"Maximum red Bed",$389.99,85
27,"Radical Red Daybed",$311.99,8
28,"Deep champagne Sleeper Sofa","$1,279.99",73
29,"Blond Plant Stand",$42.99,81
30,"Strawberry Blonde End Table",$39.99,44
31,"Copper rose Chaise Lounge",$235.99,69
32,"Princeton orange Sectional","$1,039.99",82
33,"Rusty red Stool",$54.99,1
34,"MSU green Sectional","$1,039.99",0
35,"Silver pink Nightstand",$81.99,93
36,"Apple green Coffee Table",$200,76
37,"Carmine Sofa",$649.99,45
38,"Shimmering Blush Bench",$114.99,28
39,"Medium blue Dresser",$699.99,12
40,"Tuscan red Stool",$54.99,34
41,"Pine tree Crib",$289,9
42,"Dark turquoise Dresser",$699.99,51
43,"Japanese carmine Dresser",$699.99,86
44,"Antique brass Plant Stand",$42.99,63
45,"Fern green Sleeper Sofa","$1,279.99",42
46,"Bright yellow Bed",$389.99,89
47,"Hansa yellow Sectional","$1,039.99",53
48,"Magic mint Chaise Lounge",$235.99,77
49,"India green Sofa",$649.99,0
50,"UA red Reclining Sofa","$1,119.99",77
51,"Heliotrope gray Wardrobe",$719.99,90
52,"Blue jeans Storage Bench",$194.99,82
53,"Burnt umber Sectional","$1,039.99",15
54,"Magenta Reclining Sofa","$1,119.99",86
55,"Cornell red Wardrobe",$719.99,15
56,"Sizzling Red Reclining Loveseat","$1,023.99",100
57,"Apple green Plant Stand",$42.99,45
58,"Desert Headboard",$222.99,21
59,"Maximum purple Headboard",$222.99,46
60,"Dark slate blue Wardrobe",$719.99,81
61,"China rose Crib",$289,67
62,"Mauve taupe Ottoman",$52.99,4
63,"Green Lizard Wardrobe",$719.99,20
64,"Lime green Bench",$114.99,62
65,"Peach Dining Table",$800,79
66,"Neon Carrot Plant Stand",$42.99,2
67,"Slate gray Crib",$289,85
68,"Fire engine red Coffee Table",$200,81
69,"Cool grey Dresser",$699.99,58
70,"French raspberry Reclining Loveseat","$1,023.99",57
71,"Middle red Headboard",$222.99,63
72,"Barn red Headboard",$222.99,93
73,"Rocket metallic Storage Bench",$194.99,83
74,"Black coffee Futon",$219.99,84
75,"African violet Dining Chair",$89.99,59
76,"Tan Ottoman",$52.99,39
77,"Celtic blue Sectional","$1,039.99",67
78,"Spanish viridian Bench",$114.99,68
79,"Blue-green Bench",$114.99,18
80,"Purple navy Daybed",$311.99,48
81,"Vivid burgundy Sleeper Sofa","$1,279.99",62
82,"Arctic lime Storage Bench",$194.99,100
83,"June bud Bench",$114.99,75
84,"Beau blue Dining Table",$800,56
85,"Middle yellow Bed",$389.99,84
86,"Neon Carrot Bed",$389.99,17
87,"Beau blue Daybed",$311.99,36
88,"Amaranth purple Wardrobe",$719.99,4
89,"Maximum blue green Loveseat",$269.99,13
90,"Plump Purple End Table",$39.99,43
91,"Ultramarine blue Bench",$114.99,27
92,"Electric indigo Bench",$114.99,86
93,"Ruby red Dresser",$699.99,4
94,"Old gold Headboard",$222.99,3
95,"Light French beige Sectional","$1,039.99",95
96,"Field drab Sofa",$649.99,19
97,"Electric green Plant Stand",$42.99,82
98,"Medium slate blue Crib",$289,3
99,"Firebrick Sectional","$1,039.99",18
100,"Red Wardrobe",$719.99,8
101,"Light cornflower blue Wardrobe",$719.99,4
102,"Green Lizard Dining Table",$800,25
103,"Pakistan green Loveseat",$269.99,55
104,"Orange soda Sleeper Sofa","$1,279.99",28
105,"Dark chocolate End Table",$39.99,56
106,"Metallic Seaweed Crib",$289,2
107,"Dark electric blue Stool",$54.99,60
108,"Saffron Sectional","$1,039.99",46
109,"Heliotrope gray Futon",$219.99,49
110,"Taupe gray Crib",$289,48
111,"Space cadet blue End Table",$39.99,74
112,"Naples yellow Loveseat",$269.99,27
113,"Dartmouth green Plant Stand",$42.99,52
114,"Rufous Futon",$219.99,21
115,"Naples yellow Futon",$219.99,40
116,"Rose taupe Reclining Loveseat","$1,023.99",77
117,"Dark green Reclining Loveseat","$1,023.99",89
118,"Medium blue Nightstand",$81.99,94
119,"Avocado Wardrobe",$719.99,7
120,"Mint cream Loveseat",$269.99,40
121,"Mantis green Chaise Lounge",$235.99,16
122,"Burgundy Stool",$54.99,70
123,"Cornsilk Loveseat",$269.99,29
124,"Light sky blue Dining Table",$800,4
125,"Sand Wardrobe",$719.99,40
126,"Brilliant rose Crib",$289,19
127,"Pale silver Dining Chair",$89.99,29
128,"Tickle Me Pink Dresser",$699.99,98
129,"MSU green Bed",$389.99,99
130,"Deep jungle green Chaise Lounge",$235.99,74
131,"Persian rose Dresser",$699.99,75
132,"Old lace Dresser",$699.99,66
133,"Maize Sofa",$649.99,41
134,"Blue sapphire Crib",$289,96
135,"Frostbite pink Bench",$114.99,19
136,"Dark sea green Dining Chair",$89.99,72
137,"Corn Crib",$289,27
138,"Fandango pink Bed",$389.99,72
139,"English vermillion Dining Chair",$89.99,19
140,"Cotton candy Loveseat",$269.99,99
141,"Dark chocolate End Table",$39.99,43
142,"Citron Loveseat",$269.99,31
143,"Golden brown Bench",$114.99,53
144,"Citron Bench",$114.99,82
145,"Prune Sofa",$649.99,19
146,"Morning blue Bench",$114.99,93
147,"Blond Headboard",$222.99,30
148,"Deep cerise Crib",$289,54
149,"Asparagus green Ottoman",$52.99,36
150,"Thulian pink Chaise Lounge",$235.99,72
151,"Redwood Reclining Sofa","$1,119.99",28
152,"Medium champagne Loveseat",$269.99,39
153,"Deep pink Dresser",$699.99,59
154,"Shadow blue Chaise Lounge",$235.99,48
155,"Egyptian blue Bench",$114.99,66
156,"French raspberry Sleeper Sofa","$1,279.99",2
157,"Cosmic latte Plant Stand",$42.99,37
158,"Smoky black Chaise Lounge",$235.99,16
159,"Light steel blue Bench",$114.99,69
160,"English lavender Nightstand",$81.99,49
161,"Straw Daybed",$311.99,61
162,"Harvard Crimson Storage Bench",$194.99,20
163,"Rose Wardrobe",$719.99,7
164,"Candy apple red Dining Table",$800,60
165,"Vegas gold Coffee Table",$200,14
166,"Blue jeans Crib",$289,83
167,"Middle yellow Stool",$54.99,96
168,"Mango Tango End Table",$39.99,45
169,"Volt green Bench",$114.99,22
170,"Metallic Sunburst Sleeper Sofa","$1,279.99",5
171,"Mellow apricot End Table",$39.99,4
172,"Magnolia Headboard",$222.99,28
173,"Polished Pine Sectional","$1,039.99",35
174,"Yellow-green Storage Bench",$194.99,36
175,"Malachite green Dresser",$699.99,84
176,"Umber Bench",$114.99,64
177,"Harvard Crimson Dining Table",$800,74
178,"Tuscan red Sofa",$649.99,30
179,"Café au lait Dining Table",$800,44
180,"Turquoise green Headboard",$222.99,12
181,"Cream Sofa",$649.99,49
182,"Japanese carmine Dining Table",$800,82
183,"Sacramento State green Sleeper Sofa","$1,279.99",34
184,"Strawberry Dresser",$699.99,63
185,"Wine red End Table",$39.99,23
186,"Maximum green yellow Daybed",$311.99,69
187,"Middle yellow Loveseat",$269.99,95
188,"Medium carmine Reclining Sofa","$1,119.99",67
189,"Wine red Sectional","$1,039.99",24
190,"Orange peel Storage Bench",$194.99,11
191,"Royal purple Headboard",$222.99,43
192,"Mandarin Plant Stand",$42.99,12
193,"Shadow grey Coffee Table",$200,53
194,"Lime Reclining Sofa","$1,119.99",64
195,"Hollywood cerise Reclining Loveseat","$1,023.99",54
196,"Tango pink Dining Chair",$89.99,19
197,"Vanilla Reclining Sofa","$1,119.99",83
198,"Phthalo green Stool",$54.99,20
199,"Orange peel Bed",$389.99,81
200,"Antique ruby Wardrobe",$719.99,91
201,"Hot pink Daybed",$311.99,30
202,"Davy's grey Ottoman",$52.99,34
203,"Coyote brown Loveseat",$269.99,35
204,"OU Crimson red Sectional","$1,039.99",36
205,"Pullman Brown Sectional","$1,039.99",90
206,"Tea rose Loveseat",$269.99,69
207,"Columbia Blue Dining Chair",$89.99,65
208,"Purple pizzazz Reclining Loveseat","$1,023.99",60
209,"Mimi pink Reclining Sofa","$1,119.99",85
210,"French mauve Bench",$114.99,4
211,"Maximum yellow red Stool",$54.99,96
212,"Dark sienna Sleeper Sofa","$1,279.99",88
213,"Yellow Orange Dining Chair",$89.99,98
214,"Kelly green Bed",$389.99,88
215,"Mantis green Sectional","$1,039.99",68
216,"Ebony Storage Bench",$194.99,20
217,"Green-blue Loveseat",$269.99,9
218,"Canary Coffee Table",$200,95
219,"Plum Dining Table",$800,17
220,"Dark green Reclining Sofa","$1,119.99",40
221,"Persian pink Chaise Lounge",$235.99,0
222,"Flame Coffee Table",$200,10
223,"Bluetiful Sofa",$649.99,88
224,"Eggplant Bed",$389.99,95
225,"UP Forest green Daybed",$311.99,99
226,"True Blue Headboard",$222.99,59
227,"May green Futon",$219.99,91
228,"Pink lavender Daybed",$311.99,22
229,"Cadet grey Crib",$289,27
230,"Copper rose Loveseat",$269.99,27
231,"Nickel Bench",$114.99,64
232,"French pink End Table",$39.99,9
233,"Macaroni and Cheese Chaise Lounge",$235.99,29
234,"Bitter lemon Reclining Sofa","$1,119.99",52
235,"Russian violet Reclining Sofa","$1,119.99",74
236,"Languid lavender Nightstand",$81.99,96
237,"Flame Plant Stand",$42.99,18
238,"Vanilla Reclining Sofa","$1,119.99",47
239,"Golden poppy Futon",$219.99,89
240,"Azure Loveseat",$269.99,60
241,"Heliotrope gray Bed",$389.99,96
242,"Old gold Coffee Table",$200,69
243,"Rose quartz Storage Bench",$194.99,38
244,"Bleu de France Sectional","$1,039.99",0
245,"Dark slate gray Ottoman",$52.99,15
246,"Smoky black Bench",$114.99,59
247,"Mountain Meadow green Stool",$54.99,72
248,"Orange soda Storage Bench",$194.99,55
249,"Middle yellow End Table",$39.99,67
250,"Goldenrod Daybed",$311.99,82
251,"Star command blue Dining Table",$800,57
252,"Raw umber Futon",$219.99,66
253,"UP Forest green Nightstand",$81.99,48
254,"Cyan Ottoman",$52.99,27
255,"Apple green Daybed",$311.99,5
256,"Cadet blue Sleeper Sofa","$1,279.99",96
257,"French mauve Stool",$54.99,5
